title,author,description,link,platform(s),pg,example_download_link
Mobius,papercookies,The only game played entirely on a Mobius strip. Play the FREE DEMO!,https://papercookies.itch.io/mobius,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Word Forward,Rocketship Park,Beautifully simple. Endlessly challenging.,https://rocketshippark.itch.io/word-forward,"Windows, macOS",12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Fair Winds and Following Seas,Aven Elia McConnaughey,"A short, meditative game about the exploring the senses while sailing the sea.",https://transistence.itch.io/fair-winds-and-following-seas,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Nano Driller,ultigonio,"A brisk, meditative puzzle action game!",https://ultigonio.itch.io/nano-driller,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Whipped And Steamy • Cosplay Café,Whales And Games,In a town where adult media is the new best thing the Whipped and Steamy Café is the best fun for all cosplayers!,https://whalesandgames.itch.io/whipped-and-steamy,"Windows, Linux, macOS",12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Tiny Dangerous Dungeons,Adventure Islands,A Game Boy inspired mini-metroidvania!,https://adventureislands.itch.io/tiny-dangerous-dungeons,"Windows, macOS",12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
These Lands,JestyJam,Where will the Island take you?,https://jestyjam.itch.io/these-lands,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
"Cook, Serve, Delicious! 2!!",chubigans,The highest selling and most intense restaurant sim ever made is back!,https://chubigans.itch.io/cook-serve-delicious-2,"Windows, Linux, macOS",12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Destined,Sandy Pug Games,A 5 page luxury TTRPG experience,https://sandypuggames.itch.io/destined,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Skeleton Song,Jacqueline Bryk,Find yourself in purgatory before He does.,https://rufflejax.itch.io/skeleton-song,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Succulent Sorcerers!,Diwata ng Manila,"Become magical sentient succulent houseplants, defending your home from evil bugs!",https://diwatamnl.itch.io/succulentsorcerers,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
TEOCALLI,coldrice,Traverse 13 levels of the temple to find the lost treasure!  1bit Roguelike,https://coldrice.itch.io/teocalli,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Petal Paladins!,Diwata ng Manila,Not all flowers become Petal Paladins. Will you answer the call?,https://diwatamnl.itch.io/petalpaladins,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Spoken Magic,Dylan Grinder,"A GMless, prompt-based story game about the spells we cast together, and the words we use to weave our magic.",https://anarisis.itch.io/spoken-magic,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
"Moss Creeps, Stone Crumbles",Adam Roy,A group storytelling and drawing game about gentle change in a forest grove.,https://adnroy.itch.io/moss-creeps-stone-crumbles,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Schema - Iteration 7,LeviKornelsen,An engine for tabletop roleplaying.,https://levikornelsen.itch.io/schema,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Retrace,Spider Lily Studios,Overcome death. Save your friends. Solve the mystery.,https://spiderlilystudios.itch.io/retrace,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Troika! Numinous Edition,Melsonian Arts Council,The Other world's favourite fantasy RPG,https://melsonian-arts-council.itch.io/troika-numinous-edition,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
#birdsecrets,Kurt Potts,A Murder Investigation RPG.,https://kurtpotts.itch.io/birdsecrets,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
My Welcomed Guest,Dawn Bear Games,A solo table top role playing game about being trapped in Faerie and trying to bargain your way home.,https://dawnbeargames.itch.io/my-welcomed-guest,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
One-Eyed Lee and the Dinner Party,DarkChibiShadow,Help Beracus and Lee escape an underground bunker filled with cultist skeletons!,https://darkchibishadow.itch.io/one-eyed-lee-and-the-dinner-party,"Windows, Linux, macOS",12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Smash the System,ErikTheBearik,A dice-stacking ttrpg about kicking down doors and smashing corporate oligarchy,https://erikthebearik.itch.io/smash-the-system,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Order A Pizza: A Visual Novel,Rocket Adrift,A visual novel where you play as a divorced dad trying to order the perfect pizza.,https://rocketadrift.itch.io/order-a-pizza,"Windows, Linux, macOS",12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Clouds of Fire: Blazing Skies,AaronMakesGames,Complete Chaos in this Shoot-em up meets Rouge-like with Physics!,https://aaronmakesgames.itch.io/clouds-of-fire,Windows,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Enc and the Flying Machine,TangledVirus,Help a mushroom girl to fly!,https://tangledvirus.itch.io/enc-and-the-flying-machine,,12,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=12
Three Lesbians in a Barrow,Digital Poppy,Tabby and her friends get trapped in a barrow. Hijinks ensue.,https://digital-poppy.itch.io/lesbians,"Windows, Linux, macOS",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
No Stone Unturned,adamebell,A tabletop RPG about the collateral that comes from exploring a world that is rebuilding from an apocalypse.,https://adamebell.itch.io/no-stone-unturned,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Ghost Story,okboy,Prologue (Demo),https://okboy.itch.io/ghost-story,"Windows, Linux",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
The Space Between,chrstphfr,The Space Between is a surreal narrative experience in three acts.,https://chrstphfr.itch.io/the-space-between,Windows,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
For The Honor,Mx. Quinn,Magical Princesses making messy choices.,https://mxquinn.itch.io/for-the-honor,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Brinkwood - The Blood of Tyrants - Playtest Kit,ErikTheBearik,Robin Hood vs. Vampires. Mask up. Spill blood. Drink the Rich.,https://erikthebearik.itch.io/brinkwood,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
The Glass Dream Game,Ben K Rosenbloom,"Belonging outside belonging. Building a utopia with action, thought, and games.",https://benkrosenbloom.itch.io/the-glass-dream-game,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
FONT,Narrative Dynamics,An RPG of hope and loss,https://narrativedynamics.itch.io/font,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Towayami,Andrea Pignataro,永久闇,https://approductions.itch.io/towayami,Windows,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
DragonRuby Game Toolkit,DragonRuby,"An intuitive 2D game engine. Fast, cross-platform, tiny, hot loaded.",https://dragonruby.itch.io/dragonruby-gtk,"Windows, Linux, macOS",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
The Old Man + Extra chapter,Okamizt Studio,Follow the adventure of various characters trying to make it out alive.,https://okamizt-studio.itch.io/the-old-man,Windows,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Quench,Axon Interactive,Change the environment to guide herds of animals and restore their home in this colourful narrative puzzle game.,https://axoninteractive.itch.io/quench,Windows,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Extreme Mining,Tallbeard Studios,Extract valuable materials from sentient rocks by mining them with guns.,https://tallbeard.itch.io/extreme-mining,Windows,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Bonsai Brawlers!,Diwata ng Manila,A Tabletop RPG About Plants,https://diwatamnl.itch.io/bonsai-brawlers,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
monad,Glenn Essex,Go somewhere else for a while...,https://shinyogre.itch.io/monad,"Windows, macOS",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
"Ma'amser, Saan Po Kayo?",Pammu,A trpg about helping passengers get to where they gotta go.,https://thedovetailor.itch.io/maamser-saan-po-kayo,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
The Tower: The Order of XII,Sword Garden Studios,"The Tower: The Order of XII is a humble puzzle game, a fantasy interconected franchise of games, stories and characters.",https://sword-garden-studios.itch.io/the-tower-the-order-of-xii,"Windows, Linux",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
To Be a HerpWitch,dragons but also rabbits,Every HerpWitch needs a familizard.,https://dragons-but-also-rabbits.itch.io/to-be-a-herpwitch,"Windows, Linux, macOS",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Bakto's Terrifying Cuisine,Roll 4 Tarrasque,A Deliciously Dangerous Culinary Adventure For Starving Level Adventurers,https://roll4tarrasque.itch.io/baktos-terrifying-cuisine,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Knights of the Card Table,Ponywolf,Master over 100 dungeons and 3 worlds in this dungeon crawler card game.,https://ponywolf.itch.io/kotct,"Windows, macOS",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Fools Fortune,GearSteak,Fortune has the potential to make fools of us all.,https://gearsteak.itch.io/fools-fortune,"Windows, Android",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
A NIGHTMARE'S TRIP,SKY HOUR WORKS,Turn the nightmares of the past into a fantastical dream made real.,https://skyhour.itch.io/a-nightmares-trip,"Windows, Linux, macOS",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
NeoLite,Extrone,Neon Shooter,https://extrone.itch.io/neolite,Windows,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
KISSING COMRADES,Adira Slattery,200 word LARP of anti-fascist makeouts,https://adira.itch.io/kissing-comrades,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
OMEGANAUT,Txori,When Starfox meets roguelike!,https://txori.itch.io/omeganaut,"Windows, Android",13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
WretchWorks Arcade Pack,WretchWorks,Four games in one! A hearty helping of endless arcade delights!,https://wretchworks.itch.io/arcadepack,Windows,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
6 Bites for 6 Princes,Role Over Play Dead,Werewolf brothers locked in a prison of darkness and obsession.,https://roleoverplaydead.itch.io/6-bites-for-6-princes,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Hootgoblins,Zargo Games,You're owls with a particular set of skills: alien impersonation,https://zargogames.itch.io/hootgoblins,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Tricksters,Kurt Potts,"A ttrpg of tricksters, lessons & desires.",https://kurtpotts.itch.io/tricksters,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
What Is Here?,Yubi,‘What is Here?’ is a game about building a myth around a being through a community’s eyes.,https://yubikun.itch.io/what-is-here,,13,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=13
Your Magic Circle,KiennaS,A zine format game(?) about play,https://kiennas.itch.io/your-magic-circle,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
house,Marn S.,a game about a house.,https://marns.itch.io/house,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Clash of Coins,Zwi Zausch,Local 2 player brawler fun on a shapeshifting arena in the clouds!,https://zwizausch.itch.io/clash-of-coins,Windows,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
What happened to Survey Team 4?,Iain the Indie,You may find out ... will you live to tell anyone though?,https://iaintheindie.itch.io/what-happened-to-survey-team-4,"Windows, macOS",14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Lancer Core Book: First Edition PDF,Massif Press,"The core rulebook and setting guide for Lancer, a game centered on pilots and their mechs.",https://massif-press.itch.io/corebook-pdf,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Discsphere,happy_frog_games,"A sports game with boss battles, area control, and a bit of dodgeball",https://happy-frog-games.itch.io/discsphere,Windows,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Hair Dash,CleanCutGames,,https://cleancutgames.itch.io/hair-dash,"Windows, Linux, macOS",14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
A Short Hike,adamgryu,a little exploration game about hiking up a mountain,https://adamgryu.itch.io/a-short-hike/download/8WpFP5cgbBtaqEkQMffD8sd5uBHQTV6Sm1OTb6G4,"Windows, Linux, macOS",14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Our Lady,Jess Go,A storytelling game where you play children visited by a divine spirit. Written for Folklore Jam,https://go-jg.itch.io/our-lady,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
They Won't Go When I Go,Swords and Flowers,A GM-less TTRPG about remembering the dead.,https://swords-and-flowers.itch.io/they-wont-go-when-i-go,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Nuvoloso,Claudio Vertemara,A free Casual Arcade game where you look at a sky full of clouds.,https://cloudyo.itch.io/nuvoloso,Android,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Peckin' Pixels,Waving Walrus Games,Cute pixel-art egg farm simulator.,https://wavingwalrus.itch.io/peckin-pixels,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Shadowcut,SteliosWinters,Kill enemies and unlock new characters with different attacks!,https://stelioswinters.itch.io/shadowcut,Windows,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Empty Rivalry,Ken Davidson,Two player social deduction game,https://davidson925.itch.io/empty-rivalry,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
The Bonds That Tie Us,Drazillion,A GMless TTRPG about relationships,https://drazillion.itch.io/the-bonds-that-tie-us,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Veiled,Regularly Scheduled Programming,Complete the ritual on your path to redemption.,https://rspgames.itch.io/veiled,Windows,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
That Puzzle Game Everyone Knows,Pixelbark,"It's that puzzle game, you know  the one.",https://pixelbark.itch.io/that-puzzle-game-everyone-knows,Windows,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
No Delivery,oates,An employee training video gone wrong.,https://horror-n-oates.itch.io/no-delivery,"Windows, macOS",14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Even in Arcadia,Phoebe Shalloway,"An experiential narrative game about people, plants, and interplanetary capitalism.",https://girldebord.itch.io/arcadia,"Windows, Linux, macOS",14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Arch Angel Dating Simulator,Maria Mison,tell the story of how you kiss kiss and fall in love <3,https://mariabumby.itch.io/arch-angel-dating-simulator,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
CTHULHU DEEP GREEN,Dissonance,Conspiracy Horror inspired by the Cthulhu Mythos. 3-6 players.,https://moth-lands.itch.io/cthulhu-deep-green,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Draw Nine,Damon L. Wakes,"A journey not about the cards you're dealt, but how you use them.",https://damonwakes.itch.io/draw-nine,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
PALACE OF WOE,owch,sort your self out,https://owch.itch.io/palace-of-woe,Windows,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
The Land Whispers,Jessica Osborne,A card game of discovery and improvisational storytelling for 1-4 players,https://littlecuppajo.itch.io/thelandwhispers,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
HOT GAY BRO DRAGONS,Riverhouse Games,A game about telling your boyfriend (who is a dragon) about how much you love him,https://riverhousegames.itch.io/hot-gay-bro-dragons,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Out the Window: a car trip sim,Phoebe Shalloway,Relive the car trips of your youth by controlling an imaginary friend who runs beside your car.,https://girldebord.itch.io/out-the-window,"Windows, Linux, macOS",14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
TV Guide,Llewelyn 'NylePudding' Griffiths,You'll never watch boring TV again,https://nylepudding.itch.io/tv-guide,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Viv and Bob,Impergatox,"Through the Looking-Glass, and What Puzzles were found there",https://impergatox.itch.io/viv-and-bob,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Alone With Your Ghost,babblegumsam,a solo roleplaying game about coming to terms with your past,https://babblegumsam.itch.io/alone-with-your-ghost,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Conversations With Emma,Yifat Shaik,"A conversation with Emma Goldman about gentrification, Amazon and my subscription box problem",https://yifatshaik.itch.io/conversations-with-emma,,14,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=14
Heaven Nor Hell,KiennaS,A storytelling game about the relationship between two immortals split between heaven and hell,https://kiennas.itch.io/heaven-nor-hell,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Knowing You,Summer,A Two Player Prompt Based RPG exploring a romantic relationship broken beyond repair.,https://justasummerjob.itch.io/knowing-you,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
And All Would Cry Beware!,Tales of the Renegade Sector,Old-School FPS/Metroidvania Hybrid.  Step through a portal to a mysterious world.,https://malec2b.itch.io/and-all-would-cry-beware,"Windows, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Chalice,Monkey's Paw Games,A game of Arthurian knights searching for the Holy Grail.,https://monkeys-paw-games.itch.io/chalice,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
They Come From Uranus!,Projector Studios,Our world is under attack. YOU are our only hope for survival. Get to it!,https://projector-studios.itch.io/they-come-from-uranus,Windows,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
"Okay, Hero",Bullet Points,A series of essays on the Metal Gear Solid games,https://bulletpoints.itch.io/okayhero,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Astral Defense,Pixel Pajama Studios,A tiny pixel art space shooter,https://pixelpajamastudios.itch.io/astraldefense,"Windows, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Hollow Head,Rubeki,"You wake up to a horrible smell, and whispering vents in your apartment. Something's wrong.",https://rubeki.itch.io/hollow-head,"Windows, Linux, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
WET CIGARETTE,babblegumsam,embracing the end of something special,https://babblegumsam.itch.io/wet-cigarette,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
EAT GIRL,tesselode,Surreal top-down dot-eating game,https://tesselode.itch.io/eatgirl,"Windows, Linux, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Quadrilateral Cowboy,Blendo Games,Twentieth-century Cyberpunk,https://blendogames.itch.io/quadrilateralcowboy/download/JaVj1tzyeMEOyH0RNAhX5cITqyWxCvd614ryqzoZ,"Windows, Linux, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Far From Home,ehronlime,A game about immigrants and outsiders,https://ehronlime.itch.io/far-from-home,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
as long as we're together: magical girls sweet & pure,cloverfirefly,magical girls visual novel,https://cloverfirefly.itch.io/as-long-as-were-together,"Windows, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Tales from the Road,iforgotmybrain,A SFW furry interactive fiction game,https://iforgotmybrain.itch.io/tales-from-the-road,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Beast Dream,Zargo Games,Befriend monsters and go on a grand adventure,https://zargogames.itch.io/beast-dream,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Skeletris,Ghast,A casual roguelike with Tetris vibes,https://ghastly.itch.io/skeletris,"Windows, Linux, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Peak Bleak Blues (and other moods),Connor Sherlock,Walking Simulator A Month Club Vol. 3,https://connor-sherlock.itch.io/peak-bleak-blues-and-other-moods,"Windows, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Game Dev Flashcards,Cybikitty,,https://cybikitty.itch.io/flashcards,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
"Hello, World",umbralAeronaut,Memory & Loss in a crumbling utopia,https://umbralaeronaut.itch.io/hello-world,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
World Maker,Sohkrates,Single player world making game,https://sohkrates.itch.io/world-maker,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Gun Rounds,Blabberf,"Fast paced, turn-based shooter with a cute attitude!",https://blabberf.itch.io/gunrounds,Windows,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Anomaly,Sniperserpent,A Game About A Supernatural Investigation,https://sniperserpent.itch.io/anomaly,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
The Political Compass: Devil's Labyrinth,majestic12,See where you fall on the political compass spectrums,https://majestic12.itch.io/the-political-compass-deaths-labyrinth,"Windows, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Plunge,SpookyBunsGames,Turn-Based Dungeon Plunger!,https://spookybunsgames.itch.io/plunge,"Windows, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Bedtime Bestiary,Goatmeal Games,​This is a game about a child's toys overcoming the terrible creatures of that child’s imagination.,https://goatmeal-games.itch.io/bedtime-bestiary,,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Inner,DarkStone Digital,Collect your memores (Horror Puzzle),https://darkstonedigital.itch.io/inner,"Windows, Linux",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Grindhouse Games Volume I,Black Eyed Priest Games,A collection of 3 short and frantic games!,https://leggomygiallo.itch.io/grindhouse-games-volume-i,Windows,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Peck N Run,Spilt Milk Studios,Feed the chicks! A fast-paced arcade action game about pecking... and running.,https://spiltmilkstudios.itch.io/peck-n-run,Windows,15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
Mable & The Wood,Graffiti_Games,Mable & The Wood is a Metroidvania where you can take the form of the bosses that you kill.,https://graffiti-games.itch.io/mable-and-the-wood,"Windows, Linux, macOS",15,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=15
